model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
nisqa,nisqa_train_live,local_residual_normalized_k50,mean_interval_score,2.9288697429731783,2.395333505039316,-0.5335362379338622,-0.7453093160106424,-0.4195212675022382,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mahalanobis_mondrian,coverage,0.995,0.98,-0.015000000000000013,-0.09900990099009899,0.0,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mahalanobis_mondrian,mean_width,2.91591215133667,2.139845916032791,-0.7760662353038787,-1.147789223110556,-0.4001194434165958,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mahalanobis_mondrian,mean_interval_score,2.9248497128486632,2.2685756170749665,-0.6562740957736968,-0.9337483053435033,-0.3421197240808735,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,predicted_mos_mondrian,coverage,0.995,0.995,0.0,-0.014925373134328401,0.015001884422110555,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,predicted_mos_mondrian,mean_width,2.91591215133667,3.1508199369907377,0.23490778565406778,0.020516375774652342,0.5530572566688059,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,predicted_mos_mondrian,mean_interval_score,2.9248497128486632,3.172010806798935,0.24716109395027175,0.02094752303319927,0.5515109423901803,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mos_extremity_mondrian,coverage,0.995,1.0,0.0050000000000000044,-0.014780154123786745,0.015000000000000013,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mos_extremity_mondrian,mean_width,2.91591215133667,2.8904070973396303,-0.025505053997039617,-0.20588795809290514,0.24686382924027617,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,mos_extremity_mondrian,mean_interval_score,2.9248497128486632,2.8904070973396303,-0.03444261550903294,-0.19704194865115124,0.25473511567862306,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k10,coverage,0.995,0.975,-0.020000000000000018,-0.05555555555555547,0.0,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k10,mean_width,2.91591215133667,2.6502590310573577,-0.2656531202793122,-0.556452181964966,-0.12947425363576023,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k10,mean_interval_score,2.9248497128486632,2.738991893529892,-0.18585781931877143,-0.4441377151591792,0.002335139005490506,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k25,coverage,0.995,0.985,-0.010000000000000009,-0.040000000000000036,0.0,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k25,mean_width,2.91591215133667,2.4571281373500824,-0.4587840139865875,-0.7438494668814107,-0.24476031941353374,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k25,mean_interval_score,2.9248497128486632,2.5212571799755095,-0.4035925328731538,-0.6518918295878673,-0.2040100786685945,2000,fixed_difficulty_estimator
nisqa,nisqa_val_live,local_residual_mondrian_k50,coverage,0.995,0.985,-0.010000000000000009,-0.0539282092147204,0.0,2000,fixed_difficulty_estimator
