model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,l2,0.3,20270005,nisqa_test_livetalk,750,232,0.9439655172413793,2.728243827819824,3.0189921198220087,0.9396551724137931,2.7040962700186104,3.0076116919517517,-0.004310344827586188,-0.024147557801213804,-0.011380427870256948
dnsmos,l2,0.3,20270005,nisqa_test_p501,750,240,0.8583333333333333,2.728243827819824,3.2563952704270682,0.8541666666666666,2.7496567994356154,3.2312571138143538,-0.004166666666666652,0.021412971615791143,-0.025138156612714457
dnsmos,knn,0.3,20270005,nisqa_val_sim,750,1750,0.8977142857142857,2.728243827819824,3.1571025753021242,0.8948571428571429,2.7077230006626674,3.1555807198115757,-0.0028571428571427804,-0.020520827157156862,-0.001521855490548507
dnsmos,knn,0.3,20270005,nisqa_train_live,750,1020,0.9901960784313726,2.728243827819824,2.755980423852509,0.9872549019607844,2.642249165095535,2.679380507328931,-0.002941176470588225,-0.08599466272428913,-0.07659991652357823
dnsmos,knn,0.3,20270005,nisqa_val_live,750,200,1.0,2.728243827819824,2.728243827819824,0.995,2.6500414061546325,2.650185613632202,-0.0050000000000000044,-0.07820242166519176,-0.07805821418762227
dnsmos,knn,0.3,20270005,nisqa_test_for,750,240,0.9,2.728243827819824,3.2149482369422913,0.8833333333333333,2.6828255971272785,3.1939603606859843,-0.01666666666666672,-0.04541823069254569,-0.020987876256306937
dnsmos,knn,0.3,20270005,nisqa_test_livetalk,750,232,0.9439655172413793,2.728243827819824,3.0189921198220087,0.9396551724137931,2.6499194348680564,2.9863711605811942,-0.004310344827586188,-0.07832439295176785,-0.03262095924081443
dnsmos,knn,0.3,20270005,nisqa_test_p501,750,240,0.8583333333333333,2.728243827819824,3.2563952704270682,0.85,2.6897077689568203,3.2363893816868465,-0.008333333333333304,-0.03853605886300393,-0.02000588874022169
dnsmos,mahalanobis,0.3,20270006,nisqa_val_sim,750,1750,0.9034285714285715,2.751373291015625,3.2033826569148474,0.9028571428571428,2.735345285143171,3.204202230181013,-0.0005714285714286671,-0.01602800587245401,0.0008195732661655519
dnsmos,mahalanobis,0.3,20270006,nisqa_train_live,750,1020,0.9901960784313726,2.751373291015625,2.7768422926173493,0.9872549019607844,2.6754425245172837,2.706353815864114,-0.002941176470588225,-0.0759307664983413,-0.07048847675323522
dnsmos,mahalanobis,0.3,20270006,nisqa_val_live,750,200,1.0,2.751373291015625,2.751373291015625,0.995,2.6885120129585265,2.688656220436096,-0.0050000000000000044,-0.06286127805709851,-0.06271707057952902
dnsmos,mahalanobis,0.3,20270006,nisqa_test_for,750,240,0.9,2.751373291015625,3.2149482369422913,0.8833333333333333,2.7127231508493423,3.160645996530851,-0.01666666666666672,-0.038650140166282654,-0.05430224041144038
dnsmos,mahalanobis,0.3,20270006,nisqa_test_livetalk,750,232,0.9439655172413793,2.751373291015625,3.029161107951197,0.9439655172413793,2.6661841715204306,2.98588257308664,0.0,-0.08518911949519437,-0.04327853486455702
dnsmos,mahalanobis,0.3,20270006,nisqa_test_p501,750,240,0.8583333333333333,2.751373291015625,3.2467579940954843,0.8625,2.735677166779836,3.2407139877478284,0.004166666666666763,-0.015696124235788922,-0.006044006347655895
dnsmos,l2,0.3,20270006,nisqa_val_sim,750,1750,0.9034285714285715,2.751373291015625,3.2033826569148474,0.9034285714285715,2.7477818096705846,3.1946184569767544,0.0,-0.0035914813450403926,-0.008764199938092965
dnsmos,l2,0.3,20270006,nisqa_train_live,750,1020,0.9901960784313726,2.751373291015625,2.7768422926173493,0.9862745098039216,2.7001242892414914,2.731736442388273,-0.0039215686274509665,-0.05124900177413361,-0.04510585022907643
dnsmos,l2,0.3,20270006,nisqa_val_live,750,200,1.0,2.751373291015625,2.751373291015625,1.0,2.7108827114105223,2.7108827114105223,0.0,-0.04049057960510272,-0.04049057960510272
dnsmos,l2,0.3,20270006,nisqa_test_for,750,240,0.9,2.751373291015625,3.2149482369422913,0.9083333333333333,2.755656056602796,3.1709159344434736,0.008333333333333304,0.004282765587170889,-0.04403230249881762
